name,location,image,description
Keystone Lodge & Spa,"22101 US-6, Keystone, CO 80435",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/ab/8f/25/exterior-view.jpg?w=700&h=-1&s=1,"Tucked next to the picturesque Lakeside Village, Keystone Lodge & Spa is a full service hotel in Keystone Resort, featuring an on-site spa, exercise facility, concierge services, ski storage, restaurants and bar. With 152 guest rooms, including 14 loft suites, each of the spacious guest rooms affords spectacular views of the surrounding mountains, Keystone Lake and the Snake River. All accommodations include complimentary in-room WIFI, 24/7 fitness center access, plush robes, in-room filtered water (refilled upon request), onsite dining options, and more."
Hyatt Place Keystone / Dillon,"23044 Us Hwy 6, K-66, Keystone, CO 80435",https://cf.bstatic.com/xdata/images/hotel/max1024x768/26244315.jpg?k=9b2f63fc76abc1f26867d166f5f44d7dab932303ed6842e42b7fc751badf9c68&o=&hp=1,"Set in a wooded area with views of the Rocky Mountains, this relaxed hotel is 7 minutes' walk from the lifts of the Keystone Resort. Casual rooms feature free Wi-Fi and flat-screen TVs, plus en suite bathrooms; some rooms have mountain views. Suites add living areas with pull-out sofas. Hot breakfast is available. There's also a lobby bar and a grab-and-go market."
Homewood Suites by Hilton Dillon,"122 Lake Dillon Drive PO Box 5478 Dillon, Colorado 80435",https://cf.bstatic.com/xdata/images/hotel/max1024x768/474960726.jpg?k=791adf02bcbde8d4bba2d177b908e10072ca52eca54f25dac933bd989fb4e1d2&o=&hp=1,"Homewood Suites is off US Route 6, five minutes from I-70. The hotel is within 30 minutes of ski areas at Arapahoe Basin, Copper Mountain, Keystone, and Breckenridge. The Lake Dillon Marina, park, and amphitheater are just a mile down the road, offering sailing, fishing, and summertime activities and entertainment. Enjoy mountain and lake views from our rooftop bar and restaurant."
DoubleTree by Hilton Hotel Breckenridge,"550 Village Rd, Breckenridge, CO 80424",https://www.hilton.com/im/en/QKBVRDT/376527/qkbvrdt-gdl-summerext.jpg?impolicy=crop&cw=2500&ch=1399&gravity=NorthWest&xposition=0&yposition=300&rw=768&rh=430,"Across the street from the Breckenridge Ski Resort, this alpine-style hotel is a 6-minute walk from a historic main street in the town center. All rooms offer modern decor and custom-designed beds, plus minifridges, coffeemakers, 42-inch TVs and WiFi (fee). Some rooms feature mountain views. A casual restaurant offers a la carte meals all day, and a modern American restaurant offers breakfast and dinner. There's also a fitness center, indoor and outdoor pools, hot tubs and a sauna."
River Mountain Lodge,"100 South Park Avenue, Breckenridge, CO 80424",https://cf.bstatic.com/xdata/images/hotel/max1024x768/78708298.jpg?k=1326837b7e3aba0d490992f6e4fcab28a5c5623133c1dfd5f2777daef22020a0&o=&hp=1,"Set in the Rocky Mountains off Route 9, this casual hotel is across the road from the Four O’Clock ski run, and a 4-minute walk from the nearest restaurants and bars. Cozy rooms offer free Wi-Fi, cable TV and minifridges, plus DVD players; some include fireplaces, and/or balconies or terraces. Warm, individually decorated studios and 1- to 4-bedroom apartments add kitchens or kitchenettes."
Beaver Run Resort & Conference Center,"620 Village Rd, Breckenridge, CO 80424",https://cf.bstatic.com/xdata/images/hotel/max1024x768/388999032.jpg?k=85c490b313b717f5f255c997f2cfff478883c4e2d80a29fe28a994de82d3a076&o=&hp=1,"This ski-in/ski-out hotel and conference center sits at the bottom of Peak 9 at the base of Beaver Run Super Chair at Breckenridge Ski Resort. Casual rooms have free Wi-Fi, flat-screen TVs, coffeemakers and iPod docks. Studios add pull-out sofas and kitchenettes. Suites include fireplaces, balconies and kitchens. Free perks include local shuttle service and ski lockers. Additional amenities include an arcade with mini-golf, indoor and outdoor pools, a fitness center, tennis courts and a spa, plus a restaurant, a cafe and bars."
Nordic Inn,"14 Treasury Rd, Crested Butte, CO 81224",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/48/24/bb/the-nordic-inn.jpg?w=700&h=-1&s=1,"A half mile from Crested Butte Mountain Resort, this cozy, chalet-style inn dating from 1963 is a 5-minute walk from a town shuttle stop. Polished rooms feature classic wood furniture, high-thread-count sheets and ceiling fans, as well as free Wi-Fi and cable TV; some add kitchenettes. A lone suite offers a full kitchen, and dining and sitting areas. A 4-bedroom chalet has a private sauna. Complimentary amenities include parking, and continental breakfast served in a bright dining room. There's also an outdoor deck with a hot tub, a great room with a fireplace and board games, and ski and bike storage, plus a shuttle to the ski resort."
Grand Lodge Crested Butte,"6 Emmons Rd, Mt Crested Butte, CO 81225",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/ea/03/e9/grand-lodge-crested-butte.jpg?w=700&h=-1&s=1,"Housed in a stone-clad modern building, this hotel is a 9-minute walk from The Trailhead Children's Museum and a 12-minute walk from Trailhead Discovery Museum. Rooms feature classic decor and have free Wi-Fi, 42-inch flat-screen TVs and iPod docks, plus coffeemakers. Suites add kitchenettes, and some also have fireplaces. Amenities include a heated indoor/outdoor pool, a hot tub, a steam room, a fitness room and a spa (surcharge for treatments). There's also an on-site restaurant serving breakfast and dinner, as well as a ski rental shop and free on-site parking."
Elevation Hotel & Spa,"500 Gothic Rd, Crested Butte, CO 81225",https://cf.bstatic.com/xdata/images/hotel/max1024x768/382913656.jpg?k=06fb47133ad6b00ae206fd0e2d54d9ca4984ae1b2c7098773988eca98c0e7fd9&o=&hp=1,"This polished ski-in/ski-out hotel at the base of Mount Crested Butte is a 14-minute walk from The Trailhead Children's Museum and 3 miles from the town of Crested Butte. The refined suites and rooms, some with slope-side views, have flat-screen TVs and free Wi-Fi, as well as microwaves, minifridges and coffee makers. Some have private balconies. An area shuttle and parking are available. A sleek restaurant serves upscale fare, and has a patio with a bar. Other amenities include a spa, an indoor pool and a sauna, plus a gym and indoor and outdoor hot tubs. There's also a hair salon, a ski rental shop and storage. Pets are welcome (fee)."
Sonnenalp Vail,"20 Vail Rd, Vail, CO 81657",https://www.fivestaralliance.com/files/fivestaralliance.com/field/image/nodes/2009/10597/10597_0_sonnenalpresortofvail_fsa-g.jpg,"This high-end Alpine-style hotel is a 7-minute walk from Gondola One and a mile from the Betty Ford Alpine Gardens. Featuring Bavarian-inspired furniture, all rooms, suites and condos have flat-screen TVs, DVD players and free Wi-Fi, plus bathrooms with heated floors. Upgraded rooms add balconies and fireplaces. Suites feature lofts and/or soaking tubs, while condos have full kitchens."
Gravity Haus Vail,"352 E Meadow Dr, Vail, CO 81657",https://cf.bstatic.com/xdata/images/hotel/max1024x768/408899036.jpg?k=e9e2a780adec11f6b2360796a70d64a4c6f4499cdd104944590a7245f469de02&o=&hp=1,"Sitting along Gore Creek, this chic mountain lodge is a 6-minute walk from the nearest gondola to Vail Ski Resort. Cozy, upscale rooms have free Wi-Fi and iPod docks, plus fridges, coffeemakers and complimentary snacks. Refined 2- and 3-bedroom condos add kitchens and washer/dryers. Room service is available. Amenities include access to an on-site fitness and wellness center. Spa treatments are available (surcharge). There's also a modern restaurant & a coffee shop."
Vail Run Resort,"1000 Lions Ridge Loop, Vail, CO 81657",https://cdn.vacatia.com/property/1/0/1099/view-of-resort-407_wm_thumb_770x513.jpg,"Vail Run Resort is a 54 room timeshare property. The Resort offers for rent studio suites, one/two bedrooms Condominiums, Executive Penthouses and Presidential Suites with fully equipped kitchen, fireplace and a sofa sleeper in the living room (sleeping capacity 2-10). The Resort itself offers a Gym with weights and cardio equipment, a heated swimming pool, a hot tub, sauna, game room, free wireless Internet, lounge with complimentary coffee, hot chocolate, tea, computers, and local newspapers."
The Pines Lodge,"141 Scott Hill Rd, Beaver Creek, CO 81620",https://digital.snow.com/api/imgproxy/fetch?url=unsafe/resize:fit:600:450/dpr:1/plain/https://images.vrinntopia.com/photos//50016563/50016563-2-da81133f.jpg,"A 12-minute walk from Elkhorn Lift 14 at Beaver Creek Mountain, this upscale ski-in/ski-out resort is 13 miles from Vail Village. All of the hotel rooms and condos have Wi-Fi, flat-screen TVs, and iPod docks, plus minifridges, coffee makers and boot warmers. Upgraded rooms come with balconies with mountain views. Condos add kitchens, balconies, hot tubs, fireplaces and washer/dryers. Seasonal amenities are offered, including a heated outdoor pool and hot tub, plus a fitness room. Ski storage and on-site ski rental are available. There's also a warm restaurant and a spa, as well as parking."
The Residences At Mountain Lodge,"63 Avondale Ln, Beaver Creek, CO 81620",https://assets.hyatt.com/content/dam/hyatt/hyattdam/images/2018/10/16/1532/Hyatt-Mountain-Lodge-P008-Lodge-Pool.jpg/Hyatt-Mountain-Lodge-P008-Lodge-Pool.16x9.jpg?imwidth=1280,"The Residences at Mountain Lodge, is one of the most breathtaking resorts in the Beaver Creek, Colorado, area. This ski-in/ski-out location is adjacent to Market Square's new Center for the Arts and within strolling distance of the year-round outdoor skating rink, charming restaurants, and boutiques. All accommodations are now equipped with stainless steel appliances and granite countertops in the kitchen. Escape to The Residences at Mountain Lodge, and experience all that Vail Valley has to offer!"
"Beaver Creek Lodge, Autograph Collection","26 Avondale Ln, Beaver Creek, CO 81620",https://cache.marriott.com/content/dam/marriott-digital/ak/us-canada/hws/e/egeak/en_us/photo/unlimited/assets/egeak-exterior-3494.jpg,"At the base of Beaver Creek Mountain and a minute's walk from ski lifts, this polished ski lodge is 10 minutes from the Beaver Creek Golf Club. Plush suites feature kitchenettes and living rooms with gas fireplaces. All have free Wi-Fi and flat-screen TVs with DVD players; many have whirlpool tubs. Modern 3-bedroom condos add full kitchens and Jacuzzis. An upscale grill has a patio and fire pits. There's a business center, a kid's club and an art gallery. Ski and snowboard rentals are available (fee)."
