name,mountain_id,destination_id
Keystone Lodge & Spa,1,1
Hyatt Place Keystone / Dillon,1,2
Homewood Suites by Hilton Dillon,1,3
The Dakota,1,22
3 Peaks Lodge,1,23
Gateway Mountain Lodge,1,24
DoubleTree by Hilton Hotel Breckenridge,2,4
River Mountain Lodge,2,5
Beaver Run Resort & Conference Center,2,6
Hyatt Vacation Club At The Ranahan,2,21
Nordic Inn,3,7
Grand Lodge Crested Butte,3,8
Elevation Hotel & Spa,3,9
Sonnenalp Vail,4,10
Gravity Haus Vail,4,11
Vail Run Resort,4,12
The Pines Lodge,5,13
The Residences At Mountain Lodge,5,14
"Beaver Creek Lodge, Autograph Collection",5,15
The Inn at Aspen,6,16
Limelight Hotel,6,17
Aspen Meadows Resort,6,18
Tucker Mountain Lodge,7,19
Cambria Hotel Copper Mountain,7,20
Hyatt Vacation Club At The Ranahan,7,21
Keystone Lodge & Spa,8,1
Hyatt Place Keystone / Dillon,8,2
Homewood Suites by Hilton Dillon,8,3
The Dakota,8,22
3 Peaks Lodge,8,23
Gateway Mountain Lodge,8,24
The Hotel Telluride,9,25
The Peaks Resort & Spa,9,26
New Sheridan Hotel,9,27
Winter Park Mountain Lodge,10,28
Zephyr Mountain Lodge,10,29
The Vintage Hotel,10,30
Gravity Haus Steamboat,11,31
Steamboat Grand,11,32
Sheraton Steamboat Resort Villas,11,33
Boulder Creek Lodge,12,34
Ameristar Black Hawk,12,35
Monarch Casino Resort Spa Black Hawk,12,36
